2022-04-28 21:49:15.026894  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-05-04 14:44:19.095022  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-05-05 07:51:15.938552  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-05-05 10:24:55.287626  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006368.pdf
2022-05-05 10:40:13.222339  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006368.pdf
2022-05-05 11:03:12.353127  method: stauff26_get, event: C:/Users/alex1c/Documents/93006368.pdf
2022-05-05 11:33:07.207279  method: stauff26_get, event: C:/Users/alex1c/Documents/93006368.pdf
2022-05-05 11:33:36.944888  method: stauff26_get, event: C:/Users/alex1c/Documents/93006368.pdf
2022-05-05 11:35:24.342999  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006368.pdf
2022-05-05 11:46:28.809978  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006368.pdf
2022-05-05 11:47:14.232960  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006368.pdf
2022-05-05 13:22:10.263904  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006369.pdf
2022-05-05 14:46:44.475251  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006370.pdf
2022-05-05 15:26:26.769780  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006371.pdf
2022-05-05 15:26:44.988514  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006371.pdf
2022-05-05 16:41:21.669841  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006371.pdf
2022-05-05 16:49:02.463012  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006370.pdf
2022-05-05 16:51:29.685628  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006370.pdf
2022-05-05 16:54:13.572360  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006369.pdf
2022-05-05 17:40:15.015127  method: stauff26_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2250 Stauff/93006367.pdf
2022-05-07 17:42:59.846304  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-05-07 19:22:56.547175  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946890.pdf
2022-05-07 19:44:38.126786  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/StauffInvoices/92946891.pdf
2022-05-07 19:45:34.588776  method: stauff26_get, event: C:/Users/alex1c/Documents/93006368.pdf
2022-05-12 15:49:28.902619  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-16 13:10:51.505752  method: stauff26_get, event: C:/Users/alex1c/Documents/93006368.pdf
2022-05-16 13:16:08.428815  method: stauff26_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-16 13:34:02.921997  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-16 13:39:27.150349  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-16 13:41:32.518770  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-16 13:49:21.959566  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-16 13:55:57.431794  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-16 14:01:06.902817  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-16 14:11:00.276447  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-16 14:46:51.845722  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-16 15:32:51.575833  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-16 15:41:34.309209  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-16 16:09:52.272768  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2252 Stauff/Inv 93016135.pdf
2022-05-16 16:25:21.850141  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2252 Stauff/Inv 93016136.pdf
2022-05-16 16:39:06.492621  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2252 Stauff/Inv 93016135.pdf
2022-05-16 17:01:37.006492  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/93016136.pdf
2022-05-16 17:21:34.164969  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2252 Stauff/93016136.pdf
2022-05-19 13:51:12.801039  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-19 13:59:10.178042  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-19 14:00:02.107207  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-19 14:00:45.909160  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-19 16:37:05.839550  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-19 17:18:55.077503  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012934.pdf
2022-05-19 22:11:56.145271  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-19 22:29:37.311725  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-19 22:31:29.452423  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012934.pdf
2022-05-20 11:56:09.774070  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93022179.pdf
2022-05-20 12:16:31.739645  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93022180.pdf
2022-05-20 14:33:55.156967  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93022181.pdf
2022-05-20 14:54:31.901986  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93022182.pdf
2022-05-20 15:09:35.513673  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93022183.pdf
2022-05-20 15:25:21.292126  method: stauff12_get, event: //sbs-dc/share/ООО_ШТАУФФ/Отдел логистики/ВЭД/Приход-отправка/СПЕЦИФИКАЦИИ для брокера/2255 Stauff/93022184.pdf
2022-05-20 15:28:03.198497  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-20 15:34:57.976577  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/93022180.pdf
2022-05-23 15:01:11.606030  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-23 15:01:14.215404  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012935.pdf
2022-05-23 15:22:04.981867  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 15:22:07.606837  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 15:23:36.993977  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 15:23:39.087732  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 15:30:31.186508  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 15:30:33.217772  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 15:52:43.087334  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 15:52:45.524826  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 15:56:37.492382  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 15:56:40.179880  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 16:00:26.068293  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 16:00:28.755822  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 16:07:00.539180  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 16:07:03.226650  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 16:09:19.412503  method: stauff19_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
2022-05-23 16:09:21.099867  method: stauff12_get, event: C:/Users/alex1c/sources/spacySt/OCR/0093012939.pdf
